Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Gonzaga 1,Gonzaga,1,WCC,26-0,1,0,1,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,105.7,100,97.9,96,5.99,106,1,1,1,1,1,0
Norfolk St. 16,Norfolk St.,200,MEAC,16-7,Not Ranked,1,1,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,96.9,326,105.2,312,-0.73,224,0,0,0,0,0,0
Oklahoma 8,Oklahoma,39,B12,15-10,Not Ranked,0,0,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,108.2,55,95.7,38,0.59,203,1,0,0,0,0,0
Missouri 9,Missouri,51,SEC,16-9,Not Ranked,0,0,16.58,110.9,51,94.4,58,68.7,160,0.088,24,15.08,17,109.8,25,94.7,20,9.77,59,0,0,0,0,0,0
Creighton 5,Creighton,19,BE,20-8,11,0,0,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,107.8,63,95.3,29,-1.4,233,1,1,0,0,0,0
UC Santa Barbara 12,UC Santa Barbara,69,BW,22-4,Not Ranked,0,1,13.66,109.9,66,96.3,82,66.1,295,0.054,63,-0.54,185,101.4,215,101.9,174,2.48,169,0,0,0,0,0,0
Virginia 4,Virginia,11,ACC,18-6,4,0,0,24.08,116.3,12,92.3,33,60.1,357,0.046,83,12.02,53,109.6,30,97.6,84,0.28,210,0,0,0,0,0,0
Ohio 13,Ohio,78,MAC,16-7,Not Ranked,0,1,12.54,113.7,29,101.2,174,69.3,131,0.027,113,4.23,133,105.3,108,101.1,146,1.47,191,1,0,0,0,0,0
USC 6,USC,14,P12,22-7,Not Ranked,0,0,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,108.1,57,97,70,5.03,128,1,1,1,0,0,0
Drake 11,Drake,53,MVC,25-4,Not Ranked,1,0,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,102.9,172,100.7,138,-9.27,310,0,0,0,0,0,0
Kansas 3,Kansas,22,B12,20-8,6,0,0,22.46,110.3,59,87.9,6,68.3,186,0.042,87,14.71,20,110,23,95.3,31,10.14,56,1,0,0,0,0,0
Eastern Washington 14,Eastern Washington,110,BSky,16-7,Not Ranked,0,1,8.08,108.4,86,100.3,152,72.4,28,-0.081,323,-3.21,236,100.6,237,103.8,241,17.77,12,0,0,0,0,0,0
Oregon 7,Oregon,36,P12,20-6,20,0,0,19.11,115.1,16,96,76,67.2,242,0.048,76,10.06,75,107.7,68,97.6,89,2.73,164,1,1,0,0,0,0
VCU 10,VCU,45,A10,19-7,Not Ranked,0,0,17.34,106.2,117,88.8,12,69.8,110,0.035,98,8.96,86,106.6,87,97.6,86,5.52,119,0,0,0,0,0,0
Iowa 2,Iowa,5,B10,21-8,5,0,0,30.33,124.2,2,93.9,50,70,99,-0.028,240,16.91,13,110.3,19,93.4,6,-5.43,286,1,0,0,0,0,0
Grand Canyon 15,Grand Canyon,108,WAC,17-6,Not Ranked,0,1,8.41,104.2,142,95.8,74,65.5,314,-0.061,299,-4.01,255,100.3,245,104.3,270,0.68,201,0,0,0,0,0,0
Michigan 1,Michigan,2,B10,20-4,25,0,0,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,111.3,12,94.5,18,2.99,158,1,1,1,0,0,0
Texas Southern 16,Texas Southern,229,SWAC,16-8,Not Ranked,1,1,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,94,341,104.2,267,13.39,30,0,0,0,0,0,0
LSU 8,LSU,29,SEC,18-9,Not Ranked,0,0,21.02,120.5,5,99.4,125,70.8,78,0.002,167,13.5,37,107.8,65,94.3,14,0.56,204,1,0,0,0,0,0
St. Bonaventure 9,St. Bonaventure,25,A10,16-4,Not Ranked,0,1,22.25,112,38,89.8,17,65.2,319,0.014,143,8.29,90,105.8,97,97.6,83,2.86,163,0,0,0,0,0,0
Colorado 5,Colorado,17,P12,22-8,Not Ranked,0,0,23.11,115.1,17,92,29,66.4,280,-0.033,252,10.78,68,107.8,66,97,71,1.99,180,1,0,0,0,0,0
Georgetown 12,Georgetown,55,BE,13-12,Not Ranked,0,1,15.49,108.4,85,92.9,41,69.6,113,0.001,171,14.45,25,110.3,21,95.8,39,4.5,135,0,0,0,0,0,0
Florida St. 4,Florida St.,15,ACC,16-6,21,0,0,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,108.8,46,96.2,45,4.23,142,1,1,0,0,0,0
UNC Greensboro 13,UNC Greensboro,100,SC,21-8,Not Ranked,0,1,9.58,104.8,129,95.2,67,68.5,174,0.005,161,0.74,169,103.2,162,102.5,192,-2.77,252,0,0,0,0,0,0
BYU 6,BYU,24,WCC,20-6,Not Ranked,0,0,22.37,113.8,28,91.4,26,68,199,0.045,84,10.28,73,107.8,64,97.5,82,8.69,73,0,0,0,0,0,0
UCLA 11,UCLA,44,P12,17-9,22,1,0,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,108.6,50,96.7,61,9.09,68,1,1,1,1,0,0
Texas 3,Texas,26,B12,19-7,19,0,1,22.01,114.5,21,92.5,36,69.2,137,0.017,140,14.05,30,109,41,94.9,23,8.32,80,0,0,0,0,0,0
Abilene Christian 14,Abilene Christian,86,Slnd,23-4,Not Ranked,0,1,11.56,103.7,157,92.2,30,70,101,-0.027,238,-8.15,331,97.6,318,105.8,329,4.29,138,1,0,0,0,0,0
Connecticut 7,Connecticut,16,BE,15-7,Not Ranked,0,0,23.33,114.3,24,90.9,25,66,301,-0.066,307,12.6,42,107.9,62,95.3,28,-2.02,243,0,0,0,0,0,0
Maryland 10,Maryland,31,B10,16-13,Not Ranked,0,0,20.15,111.6,42,91.5,27,65.3,317,-0.035,253,17.06,12,110.1,22,93.1,4,-0.8,225,1,0,0,0,0,0
Alabama 2,Alabama,8,SEC,24-6,Not Ranked,0,1,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,109.7,28,95.5,32,8.88,70,1,1,0,0,0,0
Iona 15,Iona,181,MAAC,12-5,Not Ranked,0,1,0.39,101.1,210,100.7,161,68.3,184,0.038,92,-7.05,319,97.4,321,104.4,278,-0.41,217,0,0,0,0,0,0
Baylor 1,Baylor,4,B12,22-2,2,0,0,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,106.4,90,96.9,66,-4.18,270,1,1,1,1,1,1
Hartford 16,Hartford,192,AE,15-8,Not Ranked,0,1,-1.3,98.2,254,99.5,127,66.7,269,0.078,32,-6.24,304,98.2,309,104.4,276,-0.13,213,0,0,0,0,0,0
North Carolina 8,North Carolina,28,ACC,18-10,16,0,0,21.52,110.8,53,89.3,15,71.8,45,-0.017,217,14.2,28,110.7,14,96.5,55,7.67,87,0,0,0,0,0,0
